Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked_Q,Embarked_S
0,3,0,0.38623104829163113,0,0,330911,-0.49741333194918286,1,0
1,3,1,1.3713700413713346,1,0,363272,-0.5122780073786185,0,1
0,2,0,2.5535368330669788,0,0,240276,-0.4641004685259794,1,0
0,3,0,-0.2048523475561909,0,0,315154,-0.48247515776279987,0,1
1,3,1,-0.5989079447880722,1,1,3101298,-0.41749150070575175,0,1
0,3,0,-1.2293969003590823,0,0,7538,-0.4723914868401545,0,1
1,3,1,0.031581010782937916,0,0,330972,-0.5009986371661234,1,0
0,2,0,-0.28366346700256717,1,1,248738,-0.11789443351515412,0,1
1,3,1,-0.9141524225735773,0,0,2657,-0.5081692476000046,0,0
0,3,0,-0.6777190642344485,2,0,A/4 48871,-0.20483808502596335,0,1
0,3,0,-0.2048523475561909,0,0,349220,-0.4962194253119416,0,1
0,1,0,1.2925589219249582,0,0,694,-0.1716740117692629,0,1
1,1,1,-0.520096825341696,1,0,21228,0.8369924534808912,0,1
0,2,0,2.632347952513355,1,0,24065,-0.1716740117692629,0,1
1,1,1,1.3713700413713346,1,0,W.E.P. 5734,0.4588915432601625,0,1
1,2,1,-0.4412857058953197,1,0,SC/PARIS 2167,-0.1408260456827061,0,0
0,2,0,0.4256366080148193,0,0,233734,-0.4163710928254578,1,0
0,3,0,-0.6777190642344485,0,0,2692,-0.5082445390095603,0,0
1,3,1,-0.2048523475561909,1,0,STON/O2. 3101270,-0.4956959707502683,0,1
1,3,1,1.213747802478582,0,0,2696,-0.5082445390095603,0,0
0,1,0,2.0018589969423446,1,0,PC 17603,0.4270719594598148,0,0
0,3,0,-1.6234524975909637,0,1,C 17368,-0.5809222610621629,0,1
1,1,1,-0.2048523475561909,0,0,PC 17598,-0.06979218607207077,0,1
0,1,0,-0.6777190642344485,0,1,PC 17597,0.46255213988665883,0,0
1,1,1,1.4501811608177106,1,3,PC 17608,4.065708591502392,0,0
0,3,0,1.6078033997104633,1,0,A/5. 3337,-0.3778290617433466,0,1
1,1,1,-0.5989079447880722,0,1,113509,0.4733080555374806,0,0
0,3,0,-0.5595023850648841,0,0,2698,-0.5082445390095603,0,0
0,1,0,0.8985033246930769,0,0,113054,-0.09100464438809973,0,1
0,3,0,-0.2048523475561909,2,0,2662,-0.24913094567604727,0,0
0,2,0,1.6078033997104633,1,0,SC/AH 3085,-0.1716740117692629,0,1
0,2,0,-0.4412857058953197,2,0,C.A. 31029,-0.0730781183033968,0,1
